Code,Area,Year,Median_annual_earning
E09000009,Ealing,2016,29241
E09000010,Enfield,2016,28918
E09000011,Greenwich,2016,30180
E09000012,Hackney,2016,32404
E09000013,Hammersmith and Fulham,2016,35000
E09000014,Haringey,2016,29753
E09000015,Harrow,2016,30134
E09000016,Havering,2016,28906
E09000017,Hillingdon,2016,33093
E09000018,Hounslow,2016,36235
E09000019,Islington,2016,39894
E09000020,Kensington and Chelsea,2016,30008
E09000021,Kingston upon Thames,2016,30729
E09000022,Lambeth,2016,34670
E09000023,Lewisham,2016,32217
E09000024,Merton,2016,28224
E09000025,Newham,2016,30743
E09000026,Redbridge,2016,28237
E09000027,Richmond upon Thames,2016,33329
E09000028,Southwark,2016,37159
E09000029,Sutton,2016,28318
E09000030,Tower Hamlets,2016,45975
E09000031,Waltham Forest,2016,27455
E09000032,Wandsworth,2016,33405
E09000033,Westminster,2016,40000
E09000001,City of London,2017,56295
E09000002,Barking and Dagenham,2017,28553
E09000003,Barnet,2017,32143
E09000004,Bexley,2017,30733
E09000005,Brent,2017,30134
E09000006,Bromley,2017,29819
E09000007,Camden,2017,38147
E09000008,Croydon,2017,32109
E09000009,Ealing,2017,30259
E09000010,Enfield,2017,29134
E09000011,Greenwich,2017,32635
E09000012,Hackney,2017,33618
E09000013,Hammersmith and Fulham,2017,36972
E09000014,Haringey,2017,31442
E09000015,Harrow,2017,31255
E09000016,Havering,2017,29134
E09000017,Hillingdon,2017,33596
E09000018,Hounslow,2017,34119
E09000019,Islington,2017,39348
E09000020,Kensington and Chelsea,2017,31678
E09000021,Kingston upon Thames,2017,31308
E09000022,Lambeth,2017,35036
E09000023,Lewisham,2017,33294
E09000024,Merton,2017,29627
E09000025,Newham,2017,30770
E09000026,Redbridge,2017,29189
E09000027,Richmond upon Thames,2017,32141
E09000028,Southwark,2017,37601
E09000029,Sutton,2017,27945
E09000030,Tower Hamlets,2017,49369
E09000031,Waltham Forest,2017,28284
E09000032,Wandsworth,2017,33137
E09000033,Westminster,2017,42152
